,categories,genres,id,is_free,playtime_forever,price,tags,total_negative_reviews,total_positive_reviews,diffdate,re_year,re_month,re_day,pur_year,pur_month,pur_day,pur_to_now
357,3.7524853801169575,3.83800851767099,0,0,,8.838160652508777e-06,3.1622423131123565,-0.13607535953810548,-0.35718023916481645,0.00012592163923182443,2012,5,22,2018,10,28,0.31105573713093404
358,4.32798430198672,3.8021682800733427,1,0,,2.9292189591171938e-05,4.0962221264433065,-0.13607308921730382,-0.3571783300717761,2.421982167352538e-05,2018,4,24,2019,7,20,0.31102142333371874
359,3.198354861277668,3.524440725904141,2,0,,5.302896391505265e-06,2.98727105158647,-0.13607737692109997,-0.3571814009583624,4.5438957475994514e-05,2017,3,20,2019,7,16,0.3110219412778277
360,4.994386277342213,3.6320567679361013,3,0,,9.09067952829474e-06,4.300072754797065,-0.1360775686642764,-0.35718177612086166,0.0002062971536351166,2007,7,17,2018,1,30,0.31109082784431275
361,4.429766141411414,3.83800851767099,4,0,,8.585641776722809e-06,4.290332211794352,-0.13607008456093286,-0.35715740447573097,6.86942729766804e-05,2013,8,22,2017,2,24,0.3111348530935701
362,3.412064667147118,3.9327426392200557,5,0,,1.7171283553445618e-05,2.745438712006555,-0.1360774829917933,-0.35718158248860404,5.090449245541839e-06,2018,2,28,2018,6,3,0.3110747715769365
363,5.147562508138633,2.8765371280062064,6,0,,1.7171283553445618e-05,4.346840601458107,-0.13607691388172713,-0.3571808315585048,3.402563443072703e-05,2017,9,12,2019,6,9,0.3110267322608351
364,2.941081871345027,3.83800851767099,7,0,,4.54533976414737e-06,3.2910696362875256,-0.13607747891215127,-0.3571816617568095,0.00019124014060356654,2008,6,13,2018,3,22,0.31108422405692415
365,5.082097629318908,1.9872258180510605,8,0,,1.7171283553445618e-05,4.879215315536437,-0.13607501684817316,-0.35718074381888804,0.00014392575445816187,2011,2,3,2018,6,12,0.3110736062026915
366,4.534782455770958,4.27802707396006,9,0,,7.5730410848210906e-06,3.5709022278789675,-0.1360755961573445,-0.3571794737122979,5.079732510288066e-05,2014,3,31,2016,11,3,0.3111494850146468
367,5.513124697158404,1.7750922959572848,10,0,,2.9292189591171938e-05,4.174462120635138,-0.13607714642132407,-0.35718102700606486,2.3576817558299044e-05,2017,4,7,2018,6,21,0.31107244082844643
368,4.021601901882242,3.5336257309941534,11,0,,1.6161208050301762e-05,2.9986618780671703,-0.13607600412154963,-0.3571779046859101,0.00015908993484224968,2010,2,9,2018,3,28,0.31108344714076075
369,3.412064667147118,3.502095768537417,12,0,,1.2120906037726321e-05,5.40919154249635,-0.13607150263253812,-0.35717303063580397,5.509272806373801e-05,2016,2,24,2018,12,18,0.3110490038575182
370,3.412064667147118,2.794808760166817,13,0,,1.060579278301053e-05,3.0271939735064697,-0.13607614078955838,-0.3571761601802887,6.038880315500686e-05,2014,5,28,2017,6,28,0.31111879682619387
371,3.412064667147118,3.5336257309941534,14,0,,1.7171283553445618e-05,3.939714310636327,-0.1360677510056794,-0.3571689588756061,5.465534979423869e-05,2014,8,27,2017,6,12,0.3111208686026295
372,7.2721951460844,5.2777770994437665,15,1,,0.0,3.7991286804086823,-0.1360776482172964,-0.3571818166626156,2.7166923868312758e-05,2017,4,12,2018,9,1,0.31106311783448604
373,6.675645255676097,3.83800851767099,16,0,,1.0858311658796494e-05,3.360369882705741,-0.1360774809519723,-0.35718107722943165,1.2431412894375859e-05,2018,3,2,2018,10,20,0.3110567730191519
374,3.0889859931553985,2.591886902382259,17,0,,1.9696472311305273e-05,2.484683177006492,-0.13607753806696102,-0.3571814705449551,6.108539094650206e-06,2017,8,9,2017,12,1,0.3110985970059464
375,3.412064667147118,3.83296341216358,18,0,,1.7171283553445618e-05,3.236654011533936,-0.13607708318687228,-0.3571814959591889,1.6718106995884776e-05,2017,2,2,2017,12,11,0.3110973021456741
376,4.568088284627796,3.83296341216358,19,0,,1.7171283553445618e-05,4.317608043782765,-0.13607697711617894,-0.3571803874145138,5.695944787379973e-05,2015,7,24,2018,6,21,0.31107244082844643
377,3.1045110954532,4.142391304347826,20,0,,1.7171283553445618e-05,2.362932306828201,-0.13607759314212872,-0.35718172045158764,4.849322702331962e-05,2016,10,6,2019,3,30,0.31103592576876826
378,2.6092868893693404,4.8255663430420705,21,0,,2.2221661069164924e-05,4.539280361626929,-0.13607507192334087,-0.3571774665929271,3.9973422496570646e-05,2015,3,26,2017,4,10,0.31112902622234484
379,4.130268304571708,3.730487804878049,22,0,,1.7171283553445618e-05,2.546884739737809,-0.1360764692007435,-0.3571790816069762,0.00015700017146776408,2010,8,30,2018,9,7,0.3110623409183227
380,2.941081871345027,3.0992475957661387,23,0,,1.8938915683947375e-05,2.3916015352265823,-0.13607733000521638,-0.35718129083001593,3.177512002743484e-05,2016,4,5,2017,11,19,0.31110015083827314
381,2.941081871345027,3.4214171864171874,24,0,,9.09067952829474e-06,2.162895827413091,-0.1360776013014128,-0.3571817234770916,1.3074417009602197e-05,2017,5,4,2018,1,3,0.3110943239670479
382,2.916965065025747,3.502095768537417,25,0,,6.565490770435091e-06,2.911962571492342,-0.13607760742087588,-0.3571817900381802,5.358367626886146e-06,2018,5,30,2018,9,7,0.3110623409183227
383,3.6265991723723516,3.4863307873090488,26,0,,2.2726698820736852e-05,3.016438460533132,-0.13607746055376205,-0.3571813719135238,6.0978223593964346e-05,2016,1,15,2019,2,26,0.3110400693216395
384,3.124108611711675,2.794808760166817,27,0,,1.7171283553445618e-05,2.298008729773163,-0.1360774829917933,-0.3571809235338272,3.107853223593965e-05,2016,3,24,2017,10,25,0.3111033879889538
385,3.2971004026534416,3.4863307873090488,28,0,,2.8282114088028082e-05,2.993468397046203,-0.13607567571036447,-0.35717847408576775,3.418638545953361e-05,2016,1,26,2017,10,25,0.3111033879889538
386,3.3247972204885197,3.8688835502436847,29,0,,1.7171283553445618e-05,3.6644245387516543,-0.1360759449667399,-0.35717896058681514,4.2491855281207135e-05,2015,10,20,2017,12,21,0.3110960072854018
387,4.018197145779597,3.094881271702743,30,0,,1.7171283553445618e-05,3.69101207956106,-0.13607687512512764,-0.3571792867361491,7.871442043895747e-05,2013,2,15,2017,2,23,0.3111349825795973
388,3.8189942544796303,4.8255663430420705,31,0,,1.7171283553445618e-05,3.835485423637403,-0.1360583392714665,-0.35709163727941634,9.762945816186558e-05,2011,11,10,2016,11,5,0.3111492260425924
