id,playtime_forever
0,0.010000000000000002
1,0.3366666666666666
2,0.04666666666666666
3,0.08
4,4.156666666666667
5,0.09333333333333334
6,0.25666666666666665
7,0.0
8,0.5366666666666666
9,1.1800000000000002
10,0.2066666666666667
11,0.1
12,3.6399999999999997
13,0.7833333333333332
14,3.4300000000000006
15,1.2266666666666666
16,1.6133333333333333
17,0.8099999999999999
18,1.1866666666666668
19,0.4966666666666667
20,0.01
21,0.9666666666666666
22,0.0
23,0.01
24,1.77
25,0.31333333333333335
26,0.0
27,0.0
28,0.6966666666666667
29,0.33999999999999997
30,0.8466666666666667
31,6.766666666666666
32,0.30999999999999994
33,0.17666666666666667
34,1.19
35,0.8433333333333332
36,0.9333333333333333
37,2.0200000000000005
38,1.7866666666666666
39,0.026666666666666665
40,0.22000000000000003
41,0.0
42,1.5
43,0.0
44,0.18333333333333332
45,1.2733333333333332
46,0.5066666666666666
47,0.73
48,0.13
49,3.5266666666666664
50,1.2266666666666663
51,0.7466666666666667
52,0.7633333333333333
53,0.4133333333333334
54,1.3533333333333333
55,0.4833333333333333
56,5.5600000000000005
57,0.39333333333333337
58,0.06333333333333332
59,0.9366666666666668
60,0.05333333333333333
61,0.29333333333333333
62,0.22000000000000003
63,5.47
64,0.0
65,1.05
66,0.18666666666666662
67,0.016666666666666666
68,1.6166666666666667
69,0.39666666666666667
70,0.8099999999999999
71,7.373333333333333
72,0.8300000000000001
73,13.166666666666666
74,0.5333333333333332
75,1.6366666666666667
76,1.3566666666666667
77,1.41
78,0.07666666666666666
79,0.8400000000000001
80,0.03333333333333333
81,0.74
82,0.14666666666666667
83,1.2799999999999998
84,4.496666666666666
85,0.05
86,0.016666666666666666
87,13.55
88,0.3166666666666666
89,0.5666666666666667
