id,playtime_forever
0,1.1270412619979546
1,1.143015385575261
2,1.1591702080615445
3,1.129872288856728
4,1.136903484789952
5,1.1687212033845926
6,1.1956412643786696
7,1.1568045186209563
8,1.2017004417927666
9,1.1601690361488524
10,1.1794114166696397
11,1.1525450927756795
12,1.1454548014847168
13,1.1142026133817644
14,1.1520132520642268
15,1.2106132726324133
16,1.1940041821883798
17,1.2202822543455372
18,1.2123262261517032
19,1.1402312990599703
20,1.1644734116655424
21,1.1563604608035836
22,1.152731839417971
23,1.1884022367953808
24,1.2240527773403898
25,1.15767657896795
26,1.1469453317393392
27,1.130956847308598
28,1.1252659065507615
29,1.1523434675026087
30,1.151848636841798
31,1.2065096735165524
32,1.1265336650106945
33,1.1821605923940552
34,1.1903605167377105
35,1.1393393229339266
36,1.2257218486124326
37,1.1174869004172714
38,1.1942727924070424
39,1.1795582787471481
40,1.1391317101756844
41,1.1755395073767638
42,1.170245100506779
43,1.1862420328036947
44,1.12618180856744
45,1.1794361626931715
46,1.1815864931257138
47,1.1753885816656913
48,1.1368505118865269
49,1.1871083664241073
50,1.192160093555233
51,1.143601997236045
52,1.1275994260116575
53,1.1717118727588862
54,1.1225353105855242
55,1.1631801001076185
56,1.152660492250757
57,1.1232633422909344
58,1.13111820161616
59,1.2109649295567027
60,1.1884427205437802
61,1.1213319723452007
62,1.1728545627259277
63,1.1633637948737974
64,1.188927994054906
65,1.1289925733796125
66,1.1903169910799312
67,1.1416239467661835
68,1.1638521082468731
69,1.1638066801526543
70,1.1631363482375348
71,1.2009848979412374
72,1.166391431349667
73,1.1808190531144283
74,1.1844154429019873
75,1.1655218085964936
76,1.1562068392788005
77,1.1836824023724026
78,1.1869605951469213
79,1.165006353322626
80,1.1670683927206909
81,1.1811140005226204
82,1.1749950312543473
83,1.121278618679338
84,1.1053530422461733
85,1.1371338671723832
86,1.1972257743389751
87,1.170105452987605
88,1.1581694243665495
89,1.125764968400744
